ここ,ここ,"(n,uk) here (place physically close to the speaker, place pointed by the speaker while explaining); this place; these last (followed by a duration noun and a past sentence: time period before the present time of the speaker); (P)",koko,,,,,,,
そこ,そこ,"(n,uk,arch) there (place relatively near listener); there (place just mentioned); that place; then (of some incident just spoken of); that (of point just raised); you; (P)",soko,,,,,,,
あそこ,あそこ,"(pn,adj-no,uk,n,col) there (place physically distant from both speaker and listener); over there; that place; yonder; genitals; that far (something psychologically distant from both speaker and listener); (P)",asoko,,,,,,,
どこ,どこ,"(pn,adj-no,uk) where; what place; how much (long, far); what extent; (P)",doko,,,,,,,
何で,なんで,(adv) why?; what for?; how?; by what means?; (P),nande,,,,,,,
誰,だれ,"(pn,adj-no,ok) who; (P)",dare,,,,,,,
どっち,どっち,"(n,uk) which way; which direction; where; which one (esp. of two alternatives); who; (P)",docchi,,,,,,,
いただきます,いただきます,expression of gratitude before meals,itadakimasu,,,,,,,
ごちそうさまでした,ごちそうさまでした,said after meals,gochisosamadeshita,,,,,,,
おいしい,おいしい,"(adj-i,uk) delicious; tasty; (P)",oishii,,,,,,,
まずい,まずい,"(adj-i,uk) unappetising; unappetizing; unpleasant (taste, appearance, situation); unskillful; unskilful; bungling; clumsy; ugly; homely; plain; unattractive; awkward; untimely; (P)",mazui,,,,,,,
乾杯,かんぱい,"(n,vs,int) toast; drink (in celebration or in honor of something); drinking one's glass dry; cheers; (P)",kanpai,,,,,,,
竜,りゅう,(n) dragon (esp. a Chinese dragon); naga (semidivine human-cobra chimera in Indian mythology); promoted rook (shogi),riyuu,,,,,,,
猿,さる,"(n,derog,arch) monkey (esp. the Japanese macaque, Macaca fuscata); sly person; sliding wooden bolt (for holding a door or window shut); clasp used to control the height of a pot-hook; (P)",saru,,,,,,,
熊,くま,(n) bear (animal); (P),kuma,,,,,,,
蜘蛛,くも,(n) spider; (P),kumo,,,,,,,
雲,くも,(n) cloud; (P),kumo,,,,,,,
食べる,たべる,"(v1,vt) to eat; (P)",taberu,,,,,,,
飲む,のむ,"(v5m,vt) to drink; to gulp; to swallow; to smoke (tobacco); to engulf; to overwhelm; to keep down; to suppress; to accept (e.g. demand, condition); to make light of; to conceal; (P)",nomu,,,,,,,
行く,いく,"(v5k-s,vi,aux-v) to go; to proceed; to take place; to continue; (P)",iku,,,,,,,
来る,くる,"(v5r,vi,adj-pn) to come; to arrive; to be due to; next (e.g. ""next April""); forthcoming; coming; (P)",kuru,,,,,,,
帰る,かえる,"(v5r,vi) to return; to come home; to go home; to go back; (of a guest, customer, etc.) to leave; (of a baseball player rounding the bases) to get home; (P)",kaeru,,,,,,,
する,する,"(vs-i,uk,vi,suf,aux-v) to do; to cause to become; to make (into); to turn (into); to serve as; to act as; to work as; to wear (clothes, a facial expression, etc.); to judge as being; (P)",suru,,,,,,,
光,ひかり,(n) light; (P),hikari,,,,,,,
軍,ぐん,"(n,n-suf) army; force; troops; (P)",gun,,,,,,,
輝く,かがやく,(v5k) to shine; to glitter; to sparkle; (P),kagayaku,,,,,,,
殺す,ころす,"(v5s,vt) to kill; (P)",korosu,,,,,,,
帽子,ぼうし,(n) hat; cap; (P),boushi,,,,,,,
ボータイ,ボータイ,(n) bow tie,boutai,,,,,,,
だから,だから,"(conj,n) so; therefore; (P)",dakara,,,,,,,
どうも,どうも,"(int,abbr,adv) thanks; much (thanks); very (sorry); quite (regret); quite; really; somehow; no matter how hard one may try; greetings; hello; goodbye; (P)",doumo,,,,,,,
またね,またね,(exp) good-bye; see you later; (P),matane,,,,,,,
見る,みる,"(v1,vt,uk) to see; to look; to watch; to view; to observe; to look over; to look on; to assess; to examine; to judge; to look after; to keep an eye on; to take care of; to view (e.g. flowers, movie); (P)",miru,,,,,,,
聞く,きく,"(v5k,vt) to hear; to listen (e.g. to music); to ask; to enquire; to query; (P)",kiku,,,,,,,
休む,やすむ,"(v5m,vi) to be absent; to take a day off; to rest; to have a break; to go to bed; to (lie down to) sleep; to turn in; to retire; to stop doing some ongoing activity for a time; (P)",yasumu,,,,,,,
待つ,まつ,"(v5t,vt,vi) to wait; to await; to look forward to; to anticipate; (usu. in negative form) to depend on; to need; (P)",matsu,,,,,,,
面倒くさい,めんどうくさい,(adj-i) bother(some) to do; tiresome; (P),mendoukusai,,,,,,,
名前,なまえ,(n) name; full name; given name; first name; (P),namae,,,,,,,
楽園,らくえん,(n) pleasure garden; paradise,rakuen,,,,,,,
可笑しい,おかしい,"(adj-i,uk) strange; funny; amusing; ridiculous",okashii,,,,,,,
守る,まもる,"(v5r,vt) to protect; to guard; to defend; to keep (i.e. a promise); to abide (by the rules); to observe; to obey; to follow; (P)",mamoru,,,,,,,
戦う,たたかう,"(v5u,vi) to fight; to battle; to combat; to struggle against; to wage war; to engage in contest; (P)",tatakau,,,,,,,
天国,てんごく,"(n,adj-no) paradise; heaven; Kingdom of Heaven; (P)",tengoku,,,,,,,
只,ただ,"(adj-no,uk,adv) ordinary; common; usual; free of charge; unaffected; as is; safe; only; merely; just; simply; but; however; nevertheless; (P)",tada,,,,,,,
逃げる,にげる,"(v1,vi) to escape; to run away; (P)",nigeru,,,,,,,
経験,けいけん,"(n,vs) experience; (P)",keiken,,,,,,,
漢字,かんじ,(n) Chinese characters; kanji; (P),kanji,,,,,,,
林,はやし,(n) woods; forest; copse; thicket; (P),hayashi,,,,,,,
森,もり,(n) forest; shrine grove; (P),mori,,,,,,,
同じ,おなじ,"(adj-f,n,adv) same; identical; equal; uniform; equivalent; similar; common (origin); changeless; alike; (usu. part of a 'nara' conditional) anyway; anyhow; in either case; (P)",onaji,,,,,,,
違う,ちがう,"(v5u,vi) to differ (from); to vary; to not be in the usual condition; to not match the correct (answer, etc.); to be different from promised; (P)",chigau,,,,,,,
笑う,わらう,"(v5u,vi) to laugh; to smile; to sneer; to ridicule; (P)",warau,,,,,,,
粥,かゆ,(n) thin rice porridge; watery cooked rice; rice gruel,kayu,,,,,,,
回復,かいふく,"(n,vs) recovery (from illness); improvement; rehabilitation; restoration; convalescence; (P)",kaifuku,,,,,,,
血,ち,(n) blood; consanguinity; (P),chi,,,,,,,
盾,たて,(n) shield; buckler; escutcheon; pretext,tate,,,,,,,
温泉,おんせん,(n) spa; hot spring; onsen; (P),onsen,,,,,,,
上る,のぼる,"(v5r,vi) to ascend; to go up; to climb; to ascend (as a natural process, e.g. the sun); to rise; to go to (the capital); to be promoted; to add up to; to advance (in price); (P)",noboru,,This and next 3 words from Celeste,,,,,
飛ぶ,とぶ,"(v5b,vi) to jump; to leap; to spring; to bound; to hop; to fly; to soar; (P)",tobu,,,,,,,
家,いえ,(n) house; residence; dwelling; family; household; lineage; family name; (P),ie,,,,,,,
山,やま,(n) mountain; pile; heap; climax; critical point; speculated area covered by an examination; (P),yama,,,,,,,
海,うみ,(n) sea; beach; (P),umi,,,,,,,
雲海,うんかい,(n) sea of clouds,unkai,,,,,,,
お父さん,おとうさん,"(n,hon) father; (P)",otosan,,,,,,,
お母さん,おかあさん,"(n,hon) mother; (P)",okaasan,,,,,,,
お爺さん,おじいさん,(n) grandfather; male senior-citizen; (P),ojiisan,,,,,,,
お婆さん,おばあさん,(n) grandmother; female senior-citizen; (P),obaasan,,,,,,,
家族,かぞく,"(n,adj-no) family; members of a family; (P)",kazoku,,,,,,,
海賊,かいぞく,"(n,adj-no) pirate; sea robber",kaizoku,,,,,,,
もっと,もっと,"(adv,on-mim) (some) more; even more; longer; further; (P)",motto,,,,,,,
黄色い,きいろい,(adj-i) yellow; (P),kiiroi,,,,,,,
記憶,きおく,"(n,vs) memory; recollection; remembrance; storage; (P)",kioku,,,,,,,
引きこもり,ひきこもり,(n) a shut-in; a stay-at-home; people who withdraw from society (e.g. retire to the country); social withdrawal; shunning other people; (P),hikikomori,,,,,,,
もう,もう,"(adv,int) already; anymore; soon; shortly; more; further; other; again; interjection used to strengthen expression of an emotion (often exasperation); (P)",mou,,,,,,,
朝,あさ,"(n-adv,n-t) morning; (P)",asa,,,,,,,
昼,ひる,"(n-adv,n-t) noon; midday; daytime; lunch; (P)",hiru,,,,,,,
夜,よる,"(n-adv,n-t) evening; night; (P)",yoru,,,,,,,
残念,ざんねん,"(adj-na,n) deplorable; bad luck; regret; disappointment; (P)",zannen,,,,,,,
行ってきます,いってきます,"(exp,uk) I'm off; see you later; (P)",ittekimasu,,,,,,,
行ってらっしゃい,いってらっしゃい,"(int,uk) have a good day; take care; see you; (P)",itterasshai,,,,,,,
ただ今,ただいま,"(int,exp,uk,abbr,n-t,adv) Here I am; I'm home!; presently; right away; right now; just now; (P)",tadaima,,,,,,,
お帰り,おかえり,"(n,hon,int,abbr) return; welcome home; (P)",okaeri,,,,,,,
上,うえ,"(n,adj-no,n-adv,n-suf,hon,arch) above; up; over; top; summit; surface; on; before; previous; superiority; one's superior (i.e. one's elder); on top of that; besides; what's more; upon (further inspection, etc.); (P)",ue,,,,,,,
